회사,근무지,고용형태,모집명,주요업무,자격요건,우대사항,자격요건 키워드,우대사항 키워드,직군,URL
블루밍비트,서울 강남구 영동대로85길 38 (진성빌딩) 8층,경력 3-5년,백엔드 엔지니어 (파이썬),"['블루밍비트 서비스의 백엔드 기능을 개발하고 운영합니다.', '웹 크롤러를 설계·구현하고 안정적으로 운영합니다.', '데이터 파이프라인을 구축·관리하며, 안정적인 데이터 흐름을 보장합니다.', 'LLM(대규모 언어 모델) 프롬프트를 설계하고 최적화합니다.', '코드와 데이터 품질을 지속적으로 개선하고 자동화합니다.']","['Python 기반 백엔드 개발 경력 3년 이상 또는 이에 준하는 프로젝트 수행 경험', '웹 크롤링(스크래핑) 시스템의 설계·운영 경험', 'Flask 또는 FastAPI 프레임워크를 활용한 서비스 개발 경험', 'RESTful API 설계 및 개발 경험', 'Redis, Kafka 등 오픈소스 플랫폼에 대한 이해와 운영 경험', 'MySQL, PostgreSQL 등 RDBMS 설계 및 활용 경험', 'Git을 활용한 협업과 버전 관리에 능숙한 분']","['멀티프로세스·멀티스레드 기반 고성능 프로그래밍 경험', '대규모 트래픽 및 요청 처리 경험', '다양한 크롤링 방어 로직 회피 기술 구현 경험', 'BeautifulSoup4, Puppeteer, Selenium 등 크롤링/자동화 도구 활용에 능숙한 분', 'OpenAI, Claude, Gemini 등 LLM 프롬프트 설계·튜닝 경험']","['Kafka', 'FastAPI', 'PostgreSQL', 'MySQL', 'Redis', 'Git', 'Flask']","['Selenium', 'Puppeteer']",백엔드,https://www.wanted.co.kr/wd/312026
더스윙,"서울시 용산구 서빙고로 17, 용산 센트럴파크타워, 28F 더스윙",경력 2년 이상,Product Designer (UX/UI),"['Yellow Bus의 사용자 문제를 정의하고 비즈니스 임팩트에 기여합니다.', '학원, 학부모, 기사/동승자 등 다양한 사이드의 고객 관점에서 알맞은 사용자 경험을 설계합니다.', ""자전거 구독 서비스 'Swap'을 오토바이·자동차로 확장하며 모바일웹 기반 커머스에서 구매 전환을 높이기 위한 흐름 설계와 실험을 반복합니다."", '구독자 경험을 입체적으로 이해하고 고객 피드백과 내부 운영 니즈를 반영해 백오피스까지 연결되는 O2O 전반의 UX를 정교하게 개선합니다.', '신규 서비스 기획 단계부터 기존 서비스 성장 단계까지 각 제품 주기에 맞는 디자인 방향을 설정하고 지속적으로 개선합니다.']","['사용자 문제 발견부터 해결까지 End-to-end 디자인 프로세스를 주도적으로 만들 수 있는 분', '비즈니스 목표와 사용자 경험을 동시에 고려하고 업무의 우선순위를 잘 판단할 수 있는 분', '다양한 이해관계자의 맥락을 이해하고 각 고객군에 최적화된 UX를 설계하실 수 있는 분', '복잡한 기술, 정책들을 이해하고 직관적으로 구조화할 수 있는 분', 'Figma로 일관된 App/Web UI를 빠르게 시각화할 수 있는 분']","['디자인 시스템을 구축 및 운영해본 경험이 있는 분', '소규모라도 데이터 혹은 사용자 리서치 기반의 UX 실험을 설계·실행해본 분', '브랜드 전략에 맞는 일관된 사용자 경험을 만들어본 분', 'AI 관련 디자인 도구(리서치·UX 테스팅)를 활용해본 경험이 있는 분']",['Figma'],[],UX 디자이너,https://www.wanted.co.kr/wd/312035
더스윙,"서울시 용산구 서빙고로 17, 용산 센트럴파크타워, 28F 더스윙",인턴,[인턴] Product Designer (UX/UI),"['Yellow Bus의 사용자 문제를 정의하고 비즈니스 임팩트에 기여', '학원, 학부모, 기사/동승자 등 다양한 사이드의 고객 관점에서 사용자 경험 설계', ""자전거 구독 서비스 'Swap'을 오토바이·자동차로 확장하며 모바일웹 기반 커머스에서 구매 전환을 높이기 위한 흐름 설계와 실험 반복"", '앱에서는 구독자 경험을 입체적으로 이해하고 고객 피드백과 내부 운영 니즈를 반영해 백오피스까지 연결되는 O2O 전반의 UX 정교하게 개선']","['사용자 문제 발견부터 해결까지 End-to-end 디자인 프로세스를 주도적으로 만들 수 있는 분', '비즈니스 목표와 사용자 경험을 동시에 고려하고 업무의 우선순위를 잘 판단할 수 있는 분', '다양한 이해관계자의 맥락을 이해하고 각 고객군에 최적화된 UX를 설계할 수 있는 분', '복잡한 기술, 정책들을 이해하고 직관적으로 구조화할 수 있는 분', 'Figma로 일관된 App/Web UI를 빠르게 시각화할 수 있는 분']","['디자인 시스템을 구축 및 운영해본 경험이 있는 분', '소규모라도 데이터 혹은 사용자 리서치 기반의 UX 실험을 설계·실행해본 분', '브랜드 전략에 맞는 일관된 사용자 경험을 만들어본 분', 'AI 관련 디자인 도구(리서치·UX 테스팅)를 활용해본 경험이 있는 분']",['Figma'],[],프론트엔드,https://www.wanted.co.kr/wd/312036
채널코퍼레이션,"강남구 논현로 508, GS강남타워",인턴,[인턴] [채널톡] Machine Learning Engineer,"['텍스트, 오디오 등 도메인의 특성에 맞게 최적화된 에이전트 구현', '다양한 태스크를 수행할 수 있는 에이전트 워크플로우 개선', 'Context engineering을 통한 에이전트 성능 개선', '상담 에이전트 평가용 내부 벤치마크 구축 및 개선', '다양한 소스로부터 주어진 문제에 적합한 데이터 수집 및 퀄리티 관리', '모델 및 파이프라인 최적화로 효율적인 전처리 파이프라인 구축', '다양한 데이터 레시피로 LLM 및 Flow Matching 기반 모델 학습 실험 수행']","['컴퓨터 과학, 전자공학, 수학, 통계학 등 해당 포지션과 관련된 전공의 학사 이상의 학위를 가지고 계신 분', 'LLM 모델에 대한 구체적인 이해 및 실제 학습 경험', '목표에 맞는 데이터 구축 및 학습 레시피 구축 경험', '모호한 상황에서의 문제 정의, 액션 아이템 도출, 실행 및 평가 등 문제 해결 파이프라인을 반복적으로 빠르게 수행하실 수 있는 분', 'Python 및 LLM 개발 관련 Library나 Platform(PyTorch, Hugging Face) 활용 능력을 갖추신 분']","['관련 전공 석사 이상의 학위를 가지고 계신 분', '대량의 데이터셋을 수집하고 정제한 경험이 있으신 분', 'AI 주제의 논문을 작성해보시거나 오픈소스 및 경진대회 활동 경력이 있으신 분', 'LLM 기반 AI 에이전트를 Production 레벨에서 구현/배포/운영해본 경험이 있으신 분']",[],[],AI,https://www.wanted.co.kr/wd/312049
한국딥러닝,서초구 강남대로89길 30,경력 1-5년,AI 데이터 품질 고도화 엔지니어(QA),"['AI 모델 기반 문서 데이터 품질 검증 및 DB 반영', 'OCR/Parser 결과물 검증 및 품질 리포트 작성', '테스트 케이스 설계 및 QA 프로세스 운영', '전사 프로덕트/프로젝트 품질 고도화를 위한 QA 체계 구축 및 표준화']","['소프트웨어/솔루션 QA 경험 1년 이상', 'DB 반영 및 SQL 활용 능력', '테스트 케이스 작성 및 품질 지표 관리 경험']","['OCR, Parser, AI 모델 품질 검증 경험', '대규모 문서 처리 및 공공기관 QA 경험', 'SQL, DB 데이터 검증 능력', 'ISTQB 등 QA 관련 자격증 보유', '컴퓨터공학, 산업공학 등 IT 관련 전공자']","['Kudu', 'Google BigQuery', 'OracleDB', 'AWS AuroraDB', 'Neo4j', 'Couchbase', 'ElasticSearch', 'InfluxDB', 'CockroachDB', 'ArangoDB', 'Greenplum', 'Snowflake', 'Trino', 'Cubrid', 'AWS Redshift', 'Presto', 'MySQL', 'Redis', 'Druid', 'AWS DocumentDB', 'MSSQL', 'Clickhouse', 'PostgreSQL', 'Solr', 'HBase', 'MongoDB', 'CassandraDB']",[],QA,https://www.wanted.co.kr/wd/312056
한글과컴퓨터,"경기도 성남시 분당구 대왕판교로644번길 49 (삼평동,한컴타워)",계약직,SE (계약직),"['공공/교육/기업 등 고객 대상 AX(AI Transformation) 프로젝트 수행', '솔루션 및 AI제품 설치 및 구축', '온프레미스, 클라우드 기반의 인프라 설계 및 시스템 통합 계획 수립', 'Kubernetes 환경에서의 서비스 운영 및 배포', '제품 유지보수 업무 수행']","['서비스 구성을 위해 필요한 온프레미스, 클라우드, 쿠버네티스 등 인프라 아키텍처 설계/구성 유경험자', 'Windows, Linux OS 기반 지식 보유', '컨테이너화 기술(Docker, Kubernetes) 및 CI/CD 도구 활용 경험', 'Kubernetes 운영 및 장애 대응 경험', '1년 계약직']",[],"['Docker', 'Kubernetes']",[],DevOps / 시스템 관리자,https://www.wanted.co.kr/wd/312058
위메이드(WEMADE),경기도 성남시 분당구 대왕판교로 644번길 49 위메이드타워,경력 1년 이상,블록체인 백엔드(컨트랙트) 개발,"['블록체인 게임 및 WEMIX PLAY, Wepublic 컨트랙트 개발', '블록체인 연동에 필요한 백엔드 서버 개발', '블록체인 기술 관련 research']","['Golang, Solidity 개발 경험 1년 이상이신 분', 'Bitcoin, Ethereum에 대한 기본 이해가 있으신 분']","['Golang, Solidity 개발 경험 3년 이상이신 분', 'Bitcoin, Ethereum 기술에 대한 깊은 이해가 있으신 분', '블록체인 오픈 소스 프로젝트에 대한 관심이 많으신 분', 'Certik Skynet에 Smart Contract Audit 경험이 있으신 분', '주어진 일에 깊은 이해를 바탕으로 일하시는 분']",['Go'],[],백엔드,https://www.wanted.co.kr/wd/312064
완드,"서울 서초구 매헌로8길 47, 희경빌딩 C동",경력 2-10년,데이터 엔지니어,"['데이터 파이프라인 설계 및 구축', '데이터 수집, 저장 및 처리 시스템 개발', '데이터 품질 관리 및 최적화', '데이터 분석을 위한 인프라 지원', '비즈니스 요구에 맞춘 데이터 솔루션 제공', 'AWS 인프라와 연계한 배포/운영 협업']","['컴퓨터 공학, 정보 기술 또는 관련 분야 학사 학위 이상', '데이터베이스 관리 및 SQL에 대한 깊은 이해', 'Python, Java, Scala 등 프로그래밍 언어에 능숙', '데이터 처리 및 분석 도구 사용 경험', '클라우드 플랫폼(AWS, GCP, Azure) 경험']","['특허 경험 (특허 출원, 특허 사무소, 선행 기술 조사 경험, 특허 분석 경험)', '빅데이터 기술(Hadoop, Spark) 경험', '데이터 시각화 도구(Tableau, Power BI) 사용 경험', '데이터 모델링 및 ETL 프로세스 설계 경험', '기계 학습 및 인공지능 기술에 대한 이해', '팀 협업 및 커뮤니케이션 능력']","['Scala', 'Java']","['Hadoop', 'Tableau', 'Spark']",데이터,https://www.wanted.co.kr/wd/312099
잉글리시에그,서초구 동작대로 212,경력 2년 이상,프론트엔드 개발자,"['React.js 및 Next.js 기반 웹 애플리케이션 개발', '완성도 높은 UI/UX 구현', 'REST API 기반의 백엔드와 연동하여 기능 구현', '컴포넌트 단위로 유지보수가 용이한 코드 구조 설계', '사용자 중심의 문제 해결을 위한 기술적 접근']","['React, TypeScript 기반 프론트엔드 실무 경험 2년', '다양한 렌더링 전략(SSR, SSG, CSR, ISR 등)에 대한 이해', '상태 관리 라이브러리(React Query, Redux, Zustand 등) 활용 경험', '반응형 및 적응형 웹 디자인 구현 능력', 'Git을 활용한 버전 관리 및 협업 경험']","['컴포넌트 또는 디자인 시스템을 설계 및 운영 경험', '반복 작업 자동화나 코드 품질 관리(PR 리뷰, 문서화 등)에 AI 도구 사용 경험', '테스트 프레임워크(Jest, React Testing Library 등) 사용 경험', '교육 산업에 대한 관심과 문제의식을 가진 분']","['Zustand', 'Github', 'Redux', 'React Query', 'ReactJS', 'Typescript']",['Testing Library'],프론트엔드,https://www.wanted.co.kr/wd/312100
위대한상상(요기요),"서울 강남구 논현로85길 70, 823빌딩",계약직,[인턴] [Tech] Frontend Developer,"['요기요 웹 서비스 전반의 프론트엔드 개발 및 유지보수', '고객/사장님향 커스터머 서비스 및 어드민 포털 개발', '다양한 브라우저와 기기에 최적화된 반응형 웹 환경 구현', '팀 공통 패키지 및 인프라 기술 스택 관리 (CI/CD 구축, 성능 최적화, 코드 품질 개선, 기술 교육 등)']","['React, TypeScript를 활용한 프론트엔드 개발 경험이 있는 분', 'HTML, CSS, JavaScript에 대한 이해를 갖추신 분', 'Git 등 분산 버전 관리 시스템을 사용할 수 있는 분', '특정 툴에 국한되지 않고, 문제 해결을 위한 최적의 도구를 선택할 수 있는 분']","['클라우드 인프라(AWS, GCP) 기반의 서비스 운영 경험', '오픈소스 기여에 대한 관심과 새로운 기술을 적극적으로 학습하는 태도']","['HTML', 'CSS', 'Git']","['AWS MariaDB', 'AWS SNS', 'AWS SES', 'AWS CodeBuild', 'AWS CodeDeploy', 'AWS Redshift', 'AWS Athena', 'AWS AuroraDB', 'AWS DynamoDB', 'AWS CodePipeline', 'AWS DocumentDB', 'AWS Kinesis']",프론트엔드,https://www.wanted.co.kr/wd/312105
힐링페이퍼(강남언니),"서울 강남구 테헤란로 142, 아크플레이스 15층",경력 3년 이상,Analytics Engineer,"['전사 공통 KPI 중심의 데이터 마트 설계 및 운영', '분석 효율을 높이는 Fact/Dimension 확장', '도메인 팀과 협업하여 데이터 마트 공동 설계 및 운영', '데이터 품질을 관리하고 cross-domain 분석이 가능하도록 데이터 구조 개선', '전사 KPI 정의 고도화 및 SLA 기반 데이터 반영 주기 관리', '데이터 계약과 네이밍 룰 수립 및 적용으로 데이터 신뢰성과 일관성 확보']","['데이터 모델링/ETL/데이터 마트 구축 등 데이터 엔지니어링 경험 3년 이상', '다양한 직군과 협업하여 분석 효율성을 높이는 데이터 구조 설계 경험', '데이터 활용도 및 신뢰성을 높이는 구조적 개선에 관심 있는 분', 'KPI 정의, 데이터 계약, 네이밍 룰 등 데이터 거버넌스 체계 정립에 기여 경험']","['Snowflake, BigQuery 등 클라우드 기반 DWH 운영 경험', 'DBT, Airflow 등 워크플로우/모델링 도구 사용 경험', '데이터 계약, SLA, MetricOps 등 데이터 품질 관리 프로세스 경험', '데이터 리터러시 향상에 기여한 경험']",[],"['Google BigQuery', 'dbt', 'Snowflake', 'Airflow']",데이터,https://www.wanted.co.kr/wd/312109
상화,"서울시 강남구 봉은사로 112길 12, 상화빌딩",경력 2-7년,뉴미디어 인터렉티브 콘텐츠 개발자,"['유니티3D를 사용한 인터렉티브 콘텐츠 개발', '비전, 센서 인식을 통한 인터랙티브 콘텐츠', 'CMS / 스케쥴러와 연동한 미디어 제어 (디지털 사이니지)']","['학력 : 초대졸 이상', '경력 : 2년 이상', '유니티 또는 언리얼 컨텐츠 개발 경험 3년 이상', '통신(TCP/UDP/HTTP 등) 연결을 통한 미디어 연동']","['Shader 개발 경험', '외부 장치 / 모듈 연동 경험', '닷넷 개발 경험', '모션 / 디자인 감각을 갖추신 분', 'Unreal 경험자']",[],['Unreal Engine'],백엔드,https://www.wanted.co.kr/wd/312110
렛유인에듀,서울특별시 강남구 도곡로3길 27 동일빌딩 6층 렛유인에듀,경력 3-7년,UI/UX기획자,"['신규 서비스 기획 및 전략 수립', 'IA, Wireframe, WBS, 요구사항정의서 등 기획 및 프로젝트 관련 문서 작성', '데이터 분석을 통한 서비스 성과 측정 및 인사이트 도출', '프로젝트 진행 및 타 부서와의 협업']","['경력 3년 이상', 'IA, Wireframe, WBS, 요구사항정의서 등 기획 및 프로젝트 관련 문서 작성 경험', '디자인/개발/QA와 협업하여 실제 서비스를 런칭시킨 경험', '본인이 작성한 문서를 여러 번 다시 검토할 수 있는 꼼꼼함', '포트폴리오 첨부 필수 (본인이 70% 이상 기여한 문서만 첨부)']","['타 팀과의 원활한 커뮤니케이션 능력', '진취적인 태도와 책임감', '부분 개선 또는 신규 구축 프로젝트 수행 경력 보유자']",[],[],프론트엔드,https://www.wanted.co.kr/wd/312119
인피닉(infiniq),"서울 강남구 영동대로96길 20, 대화빌딩 2층",경력 3-6년,AI 연구소 BackEnd팀 개발자,"['Java / Spring 프레임워크를 사용하여 웹 어플리케이션 sw 모듈 개발 및 최적화', 'Web Application 개발에 필요한 시스템 아키텍쳐, DB 스키마 및 API 설계']","['학사 이상', '컴퓨터 공학 및 유관 전공', 'Java, Spring을 활용한 백엔드 설계 및 개발 경험 3년 이상', '웹 서비스 및 RESTFul API 설계 및 개발 경험자', 'Linux DocKer 기반 서비스 개발 경험', '원활한 커뮤니케이션, 적극적인 문제 해결 능력 보유자']","['이공계열 및 AI 관련 전공자', '풀스택 개발 경험자']","['Docker', 'Spring', 'Java']",[],백엔드,https://www.wanted.co.kr/wd/312122
한국신용데이터(KCD),"서울특별시 강남구 테헤란로 127, 5층(하나금융그룹 강남사옥)",경력 2-5년,[AI TF] Back-End Engineer,"['Agentic AI 기반 채팅 서비스 아키텍처 설계 및 API 서버 개발', '사용자 대화 세션 관리, 요청 로깅, 캐시 등 시스템 구성', 'BE 구성 요소의 성능 최적화 및 모니터링 체계 구축', '캐시노트 서비스 및 데이터 자산과 연동', 'AI 모델 서빙, 비동기 처리, 인프라 설계 등 데이터 과학자, AI/ML 엔지니어와 협업', '인프라 장애 대응, 운영 효율화, 보안 강화 등을 포함한 시스템 고도화']","['서비스를 신규로 설계하고 구축한 경험', 'Java/Kotlin + Spring Framework로 서비스를 개발한 경험', '비즈니스 요건을 빠르게 이해하고 능숙하게 데이터 모델과 API를 디자인할 수 있는 역량', '메시지 큐, 캐시, 세션 등 대화형 서비스 특화 경험']","['ML 모델 서빙, MLOps 또는 LLM 관련 경험', 'Chatbot / Voicebot / Conversational AI 관련 서비스 운영 경험', '데이터/AI 기반 스타트업 또는 빠른 실험 환경에서의 제품 개발 경험']","['Kotlin', 'Java']",['Machine learning'],백엔드,https://www.wanted.co.kr/wd/312142
더스윙,"서울시 용산구 서빙고로 17, 용산 센트럴파크타워, 28F 더스윙",경력 3년 이상,Android 개발자,"['옐로우버스 학부모앱, 동승매니저 앱 개발 및 유지보수(Flutter)', 'Android 네이티브 서비스 개발을 통해 사용자 경험 향상 및 성능 최적화', '그 외 Android 앱 개발 및 유지보수', '다양한 이해관계자와 협력하여 비즈니스 요구사항을 구현하고 기능 개선']","['Android 개발 경력 2년차 이상이신 분', 'Flutter 개발 경험이 있으신 분', 'Coroutine에 대한 이해가 있으신분', 'Jetpack Compose를 이용해 상용 앱 개발 경력이 있으신 분']","['Flutter Riverpod을 활용한 상태관리 경험이 있으신분', 'dart 비동기 통신에 대한 이해도가 있으신 분', 'WebSocket 경험', '앱 최적화 보유 경험', '도메인 기반 서비스 분석 및 설계에 대한 이해', '팀 내부 및 유관부서와의 원활한 협업, 소통이 가능하신 분']",['Android'],['Dart'],모바일,https://www.wanted.co.kr/wd/312151
